PROBEID	GENENAME
1553053_at	long intergenic non-protein coding RNA 521
1553055_a_at	schlafen family member 5
1553057_at	serpin peptidase inhibitor, clade B (ovalbumin), member 12
1553058_at	GIPC PDZ domain containing family, member 3
1553059_at	peptidoglycan recognition protein 3
1553060_at	protein serine kinase H2
1553061_at	olfactory receptor, family 6, subfamily W, member 1 pseudogene
1553062_at	monoacylglycerol O-acyltransferase 1
1553063_at	G protein-coupled receptor 78
1553064_at	H1 histone family, member O, oocyte-specific
1553066_at	trace amine associated receptor 9 (gene/pseudogene)
1553067_a_at	gonadotropin-releasing hormone (type 2) receptor 2, pseudogene
1553069_at	NA
1553070_a_at	myozenin 3
1553071_a_at	myozenin 3
1553072_at	BCL2/adenovirus E1B 19kD interacting protein like
1553074_at	ankyrin repeat and SOCS box containing 11, E3 ubiquitin protein ligase
1553075_a_at	orofacial cleft 1 candidate 1
1553076_at	orofacial cleft 1 candidate 1
1553077_at	short chain dehydrogenase/reductase family 9C, member 7
1553078_at	olfactory receptor, family 5, subfamily P, member 3
1553079_at	tripartite motif containing 40
1553080_at	casein alpha s2-like A, pseudogene
1553081_at	WAP four-disulfide core domain 12
1553082_at	crystallin, gamma N
1553083_at	NA
1553084_at	StAR-related lipid transfer (START) domain containing 6
1553086_at	chromosome 11 open reading frame 40
1553087_at	chromosome 18 open reading frame 12
1553088_a_at	BCL2-like 11 (apoptosis facilitator)
1553089_a_at	WAP four-disulfide core domain 2
1553093_a_at	defensin, beta 119
1553094_at	tachykinin 4 (hemokinin)
1553094_at	uncharacterized LOC729220
1553096_s_at	BCL2-like 11 (apoptosis facilitator)
1553099_at	tigger transposable element derived 1
1553101_a_at	alkB homolog 5, RNA demethylase
1553102_a_at	coiled-coil domain containing 69
1553103_at	nuclear transcription factor, X-box binding 1
1553105_s_at	desmoglein 2
1553106_at	chromosome 5 open reading frame 24
1553107_s_at	chromosome 5 open reading frame 24
1553108_at	chromosome 5 open reading frame 24
1553111_a_at	kelch repeat and BTB (POZ) domain containing 6
1553112_s_at	cyclin-dependent kinase 8
1553113_s_at	cyclin-dependent kinase 8
1553114_a_at	protein tyrosine kinase 6
1553115_at	naked cuticle homolog 1 (Drosophila)
1553117_a_at	serine/threonine kinase 38
1553118_at	thioesterase superfamily member 4
1553120_at	claspin
1553122_s_at	RB-associated KRAB zinc finger
1553123_at	WD repeat domain 62
1553125_x_at	WD repeat domain 62
1553126_a_at	solute carrier family 39 (zinc transporter), member 12
1553127_a_at	ring finger protein 168, E3 ubiquitin protein ligase
1553129_at	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
1553130_at	potassium channel tetramerization domain containing 5 pseudogene
1553131_a_at	GATA binding protein 4
1553132_a_at	tandem C2 domains, nuclear
1553133_at	chromosome 9 open reading frame 72
1553134_s_at	chromosome 9 open reading frame 72
1553136_at	potassium channel tetramerization domain containing 18
1553137_s_at	Kruppel-like factor 11
1553138_a_at	ankyrin repeat and LEM domain containing 1
1553139_s_at	plexin A3
1553140_at	pelota homolog (Drosophila)
1553141_at	laccase (multicopper oxidoreductase) domain containing 1
1553142_at	laccase (multicopper oxidoreductase) domain containing 1
1553145_at	TAPT1 antisense RNA 1 (head to head)
1553146_at	chromosome 3 open reading frame 30
1553147_at	RAN binding protein 3-like
1553148_a_at	sorting nexin 13
1553150_at	lysine (K)-specific demethylase 1B
1553151_at	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2
1553153_at	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2
1553155_x_at	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2
1553156_at	LIM homeobox 4
1553157_at	LIM homeobox 4
1553158_at	centrosomal protein 19kDa
1553159_at	dynein, axonemal, heavy chain 11
1553162_x_at	proline and serine rich 3
1553163_at	ADP-ribosylhydrolase like 1
1553165_at	synergin, gamma
1553166_at	cadherin 24, type 2
1553167_a_at	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
1553168_at	glutamate receptor, ionotropic, kainate 5
1553169_at	leucine rich repeat neuronal 4
1553171_x_at	leucine rich repeat neuronal 4
1553172_at	zinc finger protein 777
1553174_at	junctophilin 2
1553175_s_at	phosphodiesterase 5A, cGMP-specific
1553176_at	SH2 domain containing 1B
1553177_at	SH2 domain containing 1B
1553178_a_at	somatostatin receptor 3
1553179_at	ADAM metallopeptidase with thrombospondin type 1 motif, 19
1553180_at	ADAM metallopeptidase with thrombospondin type 1 motif, 19
1553181_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
1553183_at	uromodulin-like 1
1553185_at	RAS and EF-hand domain containing
1553186_x_at	RAS and EF-hand domain containing
1553188_s_at	par-3 family cell polarity regulator beta
1553190_s_at	par-3 family cell polarity regulator beta
1553191_at	dystonin
1553192_at	zinc finger protein 441
1553193_at	zinc finger protein 441
1553194_at	neuronal growth regulator 1
1553196_a_at	Fc receptor-like 3
1553197_at	DDB1 and CUL4 associated factor 4-like 2
1553199_at	DDB1 and CUL4 associated factor 4-like 2
1553202_at	storkhead box 1
1553204_at	C20orf166 antisense RNA 1
1553205_at	C20orf166 antisense RNA 1
1553207_at	ADP-ribosylation factor-like 10
1553208_s_at	ADP-ribosylation factor-like 10
1553209_at	ring finger protein, transmembrane 2
1553211_at	ankyrin-repeat and fibronectin type III domain containing 1
1553212_at	keratin 78, type II
1553213_a_at	keratin 78, type II
1553214_a_at	coiled-coil domain containing 7
1553215_s_at	coiled-coil domain containing 7
1553216_at	zinc finger protein 41
1553217_s_at	zinc finger protein 41
1553218_a_at	zinc finger protein 512
1553219_a_at	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1
1553220_at	family with sequence similarity 117, member B
1553221_at	zinc finger protein 583
1553222_at	oxoeicosanoid (OXE) receptor 1
1553224_at	leucine zipper protein 1
1553225_s_at	zinc finger protein 75D
1553226_at	long intergenic non-protein coding RNA 52
1553227_s_at	bromodomain and WD repeat domain containing 1
1553228_at	coiled-coil domain containing 89
1553229_at	zinc finger protein 572
1553232_at	regulator of microtubule dynamics 2
1553234_at	ADAM metallopeptidase with thrombospondin type 1 motif, 18
1553235_at	protocadherin alpha subfamily C, 1
1553237_x_at	protocadherin alpha subfamily C, 1
1553238_a_at	homeodomain interacting protein kinase 4
1553239_at	family with sequence similarity 124A
1553241_at	Na+/K+ transporting ATPase interacting 3
1553243_at	inter-alpha-trypsin inhibitor heavy chain family, member 5
1553244_at	Fanconi anemia, complementation group B
1553246_a_at	protein-O-mannose kinase
1553247_a_at	zinc finger protein 709
1553248_at	coiled-coil domain containing 57
1553249_at	structural maintenance of chromosomes 1B
1553252_a_at	bromodomain and WD repeat domain containing 3
1553253_at	ankyrin repeat and SOCS box containing 16
1553254_at	melanoma antigen family E2
1553255_at	endogenous retrovirus group V, member 1
1553257_at	galactose-3-O-sulfotransferase 3
1553258_at	uncharacterized protein FLJ30679
1553260_s_at	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 11
1553261_x_at	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 11
1553262_a_at	urotensin 2 receptor
1553263_at	Usher syndrome 1G (autosomal recessive)
1553264_a_at	synapsin I
1553265_at	solute carrier family 23, member 3
1553266_at	CCR4-NOT transcription complex, subunit 6-like
1553267_a_at	CCR4-NOT transcription complex, subunit 6-like
1553268_at	rhomboid, veinlet-like 3 (Drosophila)
1553269_at	zinc finger protein 718
1553271_at	disco-interacting protein 2 homolog B
1553272_at	solute carrier family 36 (proton/amino acid symporter), member 1
1553274_a_at	small nuclear ribonucleoprotein 48kDa (U11/U12)
1553275_s_at	NA
1553276_at	zinc finger protein 560
1553277_at	rotatin
1553279_at	butyrophilin-like 9
1553280_at	pseudouridylate synthase 10
1553281_at	phosphatidylinositol-specific phospholipase C, X domain containing 2
1553282_at	UMODL1 antisense RNA 1
1553284_s_at	leishmanolysin-like (metallopeptidase M8 family)
1553285_s_at	RAD9 checkpoint clamp component B
1553286_at	zinc finger protein 555
1553288_a_at	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 1
1553292_s_at	uncharacterized serine/threonine-protein kinase SgK494
1553293_at	MAS-related GPR, member X3
1553295_at	ATP-binding cassette, sub-family A (ABC1), member 13
1553296_at	adhesion G protein-coupled receptor G7
1553297_a_at	colony stimulating factor 3 receptor (granulocyte)
1553298_at	chromosome 17 open reading frame 77
1553299_at	dual specificity phosphatase 5 pseudogene 1
1553300_a_at	diacylglycerol kinase, eta
1553301_a_at	transmembrane protein 182
1553303_at	chromosome 16 open reading frame 46
1553304_at	LSM family member 14B
1553306_at	caspase 8, apoptosis-related cysteine peptidase
1553310_at	phospholipase B1
1553311_at	chromosome 20 open reading frame 197
1553313_s_at	solute carrier family 5 (sodium/myo-inositol cotransporter), member 3
1553314_a_at	kinesin family member 19
1553315_at	schlafen-like 1
1553316_at	G protein-coupled receptor 82
1553317_s_at	G protein-coupled receptor 82
1553318_at	RIB43A domain with coiled-coils 1
1553319_at	oxoglutarate (alpha-ketoglutarate) receptor 1
1553320_s_at	cell division cycle 14C
1553321_a_at	sulfotransferase family, cytosolic, 1C, member 4
1553322_s_at	TEA domain family member 1 (SV40 transcriptional enhancer factor)
1553323_a_at	cation channel, sperm associated 2
1553323_a_at	cation channel, sperm associated 2 pseudogene 1
1553325_at	POU domain class 5, transcription factor 2
1553326_at	relaxin/insulin-like family peptide receptor 2
1553327_a_at	BEN domain containing 7
1553328_a_at	solute carrier family 18 (vesicular monoamine transporter), member 2
1553329_at	serine-rich single-pass membrane protein 1
1553330_at	serine-rich single-pass membrane protein 1
1553333_at	mab-21-like 3 (C. elegans)
1553335_x_at	uncharacterized LOC285696
1553336_a_at	mesoderm induction early response 1, family member 3
1553338_at	SDE2 telomere maintenance homolog (S. pombe)
1553340_s_at	solute carrier family 35, member G5
1553340_s_at	solute carrier family 35, member G3
1553340_s_at	solute carrier family 35, member G4
1553341_at	urocanate hydratase 1
1553344_at	protocadherin-related 15
1553346_a_at	trinucleotide repeat containing 6A
1553347_s_at	potassium channel, voltage gated shaker related subfamily A, member 6
1553348_a_at	nuclear transcription factor, X-box binding 1
1553349_at	AT rich interactive domain 2 (ARID, RFX-like)
1553350_at	APC membrane recruitment protein 3
1553351_at	OTU deubiquitinase 7A
1553352_x_at	endogenous retrovirus group W, member 1
1553354_a_at	NA
1553355_at	NA
1553356_at	NA
1553357_at	long intergenic non-protein coding RNA 889
1553359_at	F-box and leucine-rich repeat protein 18
1553361_x_at	F-box and leucine-rich repeat protein 18
1553362_at	dynein, axonemal, heavy chain 6
1553363_at	long intergenic non-protein coding RNA 1600
1553364_at	patatin-like phospholipase domain containing 1
1553365_at	DEP domain containing 4
1553366_s_at	ankyrin repeat domain 23
1553366_s_at	ankyrin repeat domain 39
1553367_a_at	cytochrome c oxidase subunit VIb polypeptide 2 (testis)
1553369_at	family with sequence similarity 129, member C
1553371_at	EPH receptor A10
1553372_at	NA
1553373_at	WD repeat domain 64
1553374_at	uncharacterized protein PRO2949
1553375_at	BTB (POZ) domain containing 9
1553376_a_at	axonemal dynein light chain domain containing 1
1553378_a_at	HEAT repeat containing 9
1553380_at	poly (ADP-ribose) polymerase family, member 15
1553383_at	Rho GTPase activating protein 42
1553385_at	long intergenic non-protein coding RNA 1101
1553386_at	major facilitator superfamily domain containing 2A
1553387_at	ATM serine/threonine kinase
1553388_at	family with sequence similarity 26, member D
1553389_at	nephronophthisis 3 (adolescent)
1553390_at	autophagy related 9B
1553391_at	chromosome X open reading frame 58
1553392_at	EF-hand calcium binding domain 3
1553392_at	uncharacterized LOC102724660
1553394_a_at	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)
1553395_a_at	CD200 receptor 1
1553396_a_at	coiled-coil domain containing 13
1553397_at	coiled-coil domain containing 13
1553398_at	NA
1553399_a_at	CRHR1 intronic transcript 1
1553399_a_at	ADP-ribosylation factor pseudogene
1553400_a_at	CRHR1 intronic transcript 1
1553400_a_at	ADP-ribosylation factor pseudogene
1553401_at	MAS-related GPR, member X1
1553402_a_at	hemochromatosis
1553403_at	relaxin 3
1553405_a_at	CUB and Sushi multiple domains 1
1553407_at	microtubule-actin crosslinking factor 1
1553409_at	ADAM metallopeptidase with thrombospondin type 1 motif, 20
1553410_a_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 12
1553411_s_at	spalt-like transcription factor 3
1553412_at	ATP/GTP binding protein-like 4
1553413_at	lung cancer associated lncRNA 1
1553415_at	solute carrier family 17 (vesicular glutamate transporter), member 8
1553417_at	chromosome 11 open reading frame 44
1553418_a_at	contactin associated protein-like 5
1553420_at	SATB2 antisense RNA 1
1553422_s_at	RNA binding protein, fox-1 homolog (C. elegans) 1
1553423_a_at	schlafen family member 13
1553424_at	chromosome 12 open reading frame 40
1553425_at	cilia and flagella associated protein 57
1553426_at	chromosome 5 open reading frame 64
1553427_at	ADAM metallopeptidase with thrombospondin type 1 motif, 15
1553428_at	LY86 antisense RNA 1
1553429_at	uncharacterized protein FLJ31713
1553430_a_at	EDAR-associated death domain
1553432_s_at	otoancorin
1553432_s_at	otoancorin pseudogene
1553433_at	coiled-coil domain containing 171
1553434_at	cytochrome P450, family 4, subfamily Z, polypeptide 2, pseudogene
1553435_at	chromosome 18 open reading frame 15
1553436_at	mucin 19, oligomeric
1553437_at	kelch domain containing 7A
1553438_at	chromosome 11 open reading frame 72
1553439_at	NA
1553440_at	AQP4 antisense RNA 1
1553441_at	contactin associated protein-like 4
1553442_a_at	contactin associated protein-like 4
1553443_at	FER1L6 antisense RNA 1
1553444_a_at	chromosome 1 open reading frame 127
1553446_at	chromosome 6 open reading frame 183
1553446_at	transmembrane protein FLJ37396
1553447_at	ATP/GTP binding protein-like 1
1553448_at	uncharacterized FLJ34503
1553449_at	long intergenic non-protein coding RNA 304
1553450_s_at	long intergenic non-protein coding RNA 304
1553451_at	coiled-coil domain containing 79
1553452_at	myosin IH
1553453_at	ankyrin repeat and SOCS box containing 14
1553454_at	repetin
1553456_at	NA
1553457_at	long intergenic non-protein coding RNA 269
1553458_at	V-set and transmembrane domain containing 4
1553459_at	coiled-coil domain containing 150
1553460_at	chromosome 2 open reading frame 61
1553461_at	family with sequence similarity 9, member B
1553462_at	NA
1553464_at	uncharacterized FLJ40288
1553465_a_at	carboxylesterase 5A
1553466_at	cilia and flagella associated protein 47
1553467_at	DDB1 and CUL4 associated factor 8-like 2
1553467_at	uncharacterized locus FLJ32742
1553467_at	uncharacterized LOC101928481
1553468_at	HYDIN, axonemal central pair apparatus protein
1553468_at	HYDIN2, axonemal central pair apparatus protein (pseudogene)
1553470_at	dynein, axonemal, heavy chain 17
1553471_at	solute carrier family 35, member G3
1553472_at	uncharacterized LOC150596
1553474_at	POTE ankyrin domain family member D-like
1553475_at	NA
1553478_at	KIRREL3 antisense RNA 3
1553479_at	transmembrane protein 145
1553482_at	chromosome 15 open reading frame 32
1553483_at	testis specific, 10 interacting protein
1553484_at	long intergenic non-protein coding RNA 477
1553485_at	coiled-coil domain containing 140
1553486_a_at	chromosome 17 open reading frame 78
1553488_at	tektin 5
1553489_a_at	tektin 5
1553491_at	kinase suppressor of ras 2
1553492_a_at	paired box 1
